Calcul de l'oscillateur harmonique 1D
5
-7.10997e-18
-7.81769e-18
-8.59495e-18
-9.44849e-18
-1.03857e-17
-1.14147e-17
-1.25443e-17
-1.37842e-17
-1.51451e-17
-1.66385e-17
-1.82774e-17
-2.00755e-17
-2.20482e-17
-2.42122e-17
-2.65857e-17
-2.91889e-17
-3.20436e-17
-3.51737e-17
-3.86056e-17
-4.23678e-17
-4.64917e-17
-5.10117e-17
-5.59652e-17
-6.13931e-17
-6.73405e-17
-7.38561e-17
-8.09936e-17
-8.88115e-17
-9.73738e-17
-1.0675e-16
-1.17017e-16
-1.28258e-16
-1.40564e-16
-1.54034e-16
-1.68777e-16
-1.84911e-16
-2.02567e-16
-2.21885e-16
-2.43019e-16
-2.66138e-16
-2.91426e-16
-3.19083e-16
-3.49328e-16
-3.82398e-16
-4.18555e-16
-4.58083e-16
-5.0129e-16
-5.48514e-16
-6.00124e-16
-6.5652e-16
-7.18139e-16
-7.85459e-16
-8.58998e-16
-9.39323e-16
-1.02705e-15
-1.12285e-15
-1.22746e-15
-1.34167e-15
-1.46635e-15
-1.60245e-15
-1.75099e-15
-1.9131e-15
-2.08999e-15
-2.283e-15
-2.49357e-15
-2.72328e-15
-2.97382e-15
-3.24707e-15
-3.54506e-15
-3.86997e-15
-4.22422e-15
-4.61041e-15
-5.03136e-15
-5.49017e-15
-5.99018e-15
-6.53503e-15
-7.12868e-15
-7.77543e-15
-8.47995e-15
-9.24733e-15
-1.00831e-14
-1.09932e-14
-1.19842e-14
-1.30631e-14
-1.42376e-14
-1.55161e-14
-1.69076e-14
-1.84219e-14
-2.00697e-14
-2.18626e-14
-2.38131e-14
-2.59348e-14
-2.82426e-14
-3.07524e-14
-3.34817e-14
-3.64494e-14
-3.96759e-14
-4.31834e-14
-4.69959e-14
-5.11395e-14
-5.56426e-14
-6.05357e-14
-6.58521e-14
-7.16277e-14
-7.79016e-14
-8.47159e-14
-9.21165e-14
-1.00153e-13
-1.08879e-13
-1.18352e-13
-1.28636e-13
-1.39799e-13
-1.51913e-13
-1.65061e-13
-1.79326e-13
-1.94804e-13
-2.11596e-13
-2.2981e-13
-2.49565e-13
-2.70989e-13
-2.94221e-13
-3.1941e-13
-3.46719e-13
-3.76322e-13
-4.08409e-13
-4.43185e-13
-4.8087e-13
-5.21703e-13
-5.65944e-13
-6.1387e-13
-6.65783e-13
-7.22008e-13
-7.82899e-13
-8.48833e-13
-9.20221e-13
-9.97506e-13
-1.08117e-12
-1.17172e-12
-1.26971e-12
-1.37576e-12
-1.4905e-12
-1.61464e-12
-1.74893e-12
-1.89419e-12
-2.05129e-12
-2.22118e-12
-2.40488e-12
-2.60349e-12
-2.81821e-12
-3.0503e-12
-3.30115e-12
-3.57225e-12
-3.86519e-12
-4.18171e-12
-4.52366e-12
-4.89304e-12
-5.29202e-12
-5.72291e-12
-6.18822e-12
-6.69064e-12
-7.23308e-12
-7.81864e-12
-8.4507e-12
-9.13287e-12
-9.86904e-12
-1.06634e-11
-1.15205e-11
-1.24451e-11
-1.34424e-11
-1.45181e-11
-1.56782e-11
-1.69292e-11
-1.8278e-11
-1.97321e-11
-2.12996e-11
-2.29892e-11
-2.48101e-11
-2.67723e-11
-2.88866e-11
