Calcul de l'oscillateur harmonique 1D en fonction de z pour un n donné
            0
   5.3397e-01
   6.4276e-01
   6.5226e-01
   6.0122e-01
   5.0920e-01
   3.9096e-01
   2.6002e-01
   1.2928e-01
   1.0481e-02
  -8.6864e-02
  -1.5654e-01
  -1.9635e-01
  -2.0817e-01
  -1.9725e-01
  -1.7085e-01
  -1.3671e-01
  -1.0156e-01
  -7.0182e-02
  -4.5137e-02
  -2.6997e-02
  -1.4996e-02
  -7.7222e-03
  -3.6779e-03
  -1.6162e-03
  -6.5340e-04
  -2.4233e-04
  -8.2183e-05
  -2.5399e-05
  -7.1274e-06
  -1.8088e-06
  -4.1335e-07
  -8.4631e-08
  -1.5436e-08
  -2.4905e-09
  -3.5218e-10
  -4.3081e-11
  -4.4638e-12
  -3.7628e-13
  -2.3283e-14
  -6.2763e-16
   7.6874e-17
   1.4981e-17
   1.5563e-18
   1.2042e-19
   7.4962e-21
   3.8641e-22
   1.6710e-23
   6.0994e-25
   1.8844e-26
   4.9317e-28
   1.0929e-29
   2.0487e-31
   3.2433e-33
   4.3280e-35
   4.8576e-37
   4.5750e-39
   3.6067e-41
   2.3739e-43
   1.3010e-45
   5.9206e-48
   2.2312e-50
   6.9430e-53
   1.7790e-55
   3.7423e-58
   6.4446e-61
   9.0587e-64
   1.0363e-66
   9.6185e-70
   7.2226e-73
   4.3746e-76
   2.1307e-79
   8.3207e-83
   2.5973e-86
   6.4612e-90
   1.2771e-93
   1.9994e-97
  2.4721e-101
  2.4064e-105
  1.8387e-109
  1.0994e-113
  5.1285e-118
  1.8607e-122
  5.2347e-127
  1.1384e-131
  1.9080e-136
  2.4570e-141
  2.4235e-146
  1.8254e-151
  1.0467e-156
  4.5551e-162
  1.4999e-167
  3.7253e-173
  6.9580e-179
  9.7428e-185
  1.0196e-190
  7.9502e-197
  4.6047e-203
  1.9750e-209
  6.2535e-216
